Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
166,Juan Cáceres,DF,py Paraguay,26,1.ru Dynamo Moskva,2000,5,5,436,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
167,Sebastián Cáceres,DF,uy Uruguay,26,1.mx América,1999,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
168,Jordy Caicedo,FW,ec Ecuador,28,1.ar Huracán,1997,3,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
169,Moisés Caicedo,MF,ec Ecuador,24,1.eng Chelsea,2001,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
170,U?urcan Çak?r,GK,tr Türkiye,30,1.tr Galatasaray,1996,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
171,Hakan Çalhano?lu,MF,tr Türkiye,32,1.it Inter,1994,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
172,Lamine Camara,MF,sn Senegal,22,1.fr Monaco,2004,4,3,248,2.8,0,1,1,0,0,0,1,0,0,0.36,0.36,0,0.36,Matches
173,Jaminton Campaz,"FW,MF",co Colombia,26,1.ar Rosario Central,2000,3,0,75,0.8,1,0,1,1,0,0,0,0,1.2,0,1.2,1.2,1.2,Matches
174,?rfan Can Kahveci,MF,tr Türkiye,30,1.tr Kas?mpa?a,1995,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
175,José Canale,DF,py Paraguay,29,1.ar Lanús,1996,4,1,161,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
176,João Cancelo,DF,pt Portugal,32,1.es Barcelona,1994,5,5,312,3.5,0,1,1,0,0,0,0,0,0,0.29,0.29,0,0.29,Matches
177,Agustín Canobbio,FW,uy Uruguay,27,1.br Fluminense,1998,3,2,224,2.5,1,0,1,1,0,0,0,1,0.4,0,0.4,0.4,0.4,Matches
178,Casemiro,MF,br Brazil,34,1.eng Manchester Utd,1992,5,5,379,4.2,1,0,1,1,0,0,2,0,0.24,0,0.24,0.24,0.24,Matches
179,Josué Casimir,MF,ht Haiti,24,1.fr Auxerre,2001,3,2,182,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
180,Timothy Castagne,DF,be Belgium,30,1.eng Fulham,1995,6,5,478,5.3,0,1,1,0,0,0,1,0,0,0.19,0.19,0,0.19,Matches
181,Kevin Castaño,MF,co Colombia,25,1.ar River Plate,2000,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
182,Jens Castrop,MF,kr Korea Republic,22,1.de Gladbach,2003,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
183,Zeki Çelik,DF,tr Türkiye,29,1.it Roma,1997,2,2,163,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
184,Lukáš ?erv,MF,cz Czechia,25,1.cz Viktoria Plze?,2001,2,2,163,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
185,Fares Chaïbi,MF,dz Algeria,23,1.de Frankfurt,2002,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
186,Trevoh Chalobah,"DF,MF",eng England,26,1.eng Chelsea,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
187,Št?pán Chaloupek,DF,cz Czechia,23,1.cz Slavia Prague,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
188,Mouhib Chamakh,GK,tn Tunisia,24,1.tn Club Africain,2001,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
189,Firas Chaouat,FW,tn Tunisia,30,1.tn Club Africain,1996,3,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
190,Luis Chávez,MF,mx Mexico,30,1.ru Dynamo Moskva,1996,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
191,Mateo Chávez,DF,mx Mexico,22,1.nl AZ Alkmaar,2004,1,1,77,0.9,1,0,1,1,0,0,0,0,1.17,0,1.17,1.17,1.17,Matches
192,Samir Chergui,DF,dz Algeria,27,1.fr Paris FC,1999,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
193,Rayan Cherki,MF,fr France,22,1.eng Manchester City,2003,7,1,130,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
194,Mathieu Choinière,MF,ca Canada,27,1.us LAFC,1999,1,1,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
195,Tahith Chong,MF,cw Curaçao,26,2.eng Sheffield United,1999,3,3,247,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
196,Tomáš Chorý,FW,cz Czechia,31,1.cz Slavia Prague,1995,2,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
197,Ryan Christie,MF,sct Scotland,31,1.eng Bournemouth,1995,3,1,95,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
198,Carney Chukwuemeka,MF,at Austria,22,1.de Dortmund,2003,3,0,83,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
199,Mojmír Chytil,FW,cz Czechia,27,1.cz Slavia Prague,1999,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
200,Brian Cipenga,"MF,FW",cd Congo DR,28,2.es Castellón,1998,2,2,146,1.6,1,0,1,1,0,0,0,0,0.62,0,0.62,0.62,0.62,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
201,Alessandro Circati,DF,au Australia,22,1.it Parma,2003,4,4,390,4.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
202,Pathé Ciss,DF,sn Senegal,32,1.es Rayo Vallecano,1994,4,1,184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
203,Livano Comenencia,MF,cw Curaçao,22,1.ch Zürich,2004,3,3,233,2.6,1,0,1,1,0,0,1,0,0.39,0,0.39,0.39,0.39,Matches
204,Eray Cömert,DF,ch Switzerland,28,1.es Valencia,1998,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
205,Francisco Conceição,MF,pt Portugal,23,1.it Juventus,2002,4,0,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
206,Jhon Córdoba,FW,co Colombia,33,1.ru Krasnodar,1993,3,2,99,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
207,José Córdoba,DF,pa Panama,25,2.eng Norwich City,2001,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
208,Derek Cornelius,DF,ca Canada,28,1.fr Marseille,1997,4,4,315,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
209,Diogo Costa,GK,pt Portugal,26,1.pt Porto,1999,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
210,Nuno da Costa,FW,cv Cabo Verde,35,1.tr Ba?ak?ehir,1991,4,1,159,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
211,Samu Costa,MF,pt Portugal,25,1.es Mallorca,2000,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
212,Vladimír Coufal,"MF,DF",cz Czechia,33,1.de Hoffenheim,1992,3,3,270,3,0,1,1,0,0,0,0,0,0,0.33,0.33,0,0.33,Matches
213,Thibaut Courtois,GK,be Belgium,34,1.es Real Madrid,1992,6,6,550,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
214,Maxime Crépeau,GK,ca Canada,32,1.us Orlando City,1994,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
215,Max Crocombe,GK,nz New Zealand,32,2.eng Millwall,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
216,Pau Cubarsí,DF,es Spain,19,1.es Barcelona,2007,8,8,750,8.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
217,Andrés Cubas,MF,py Paraguay,30,1.us Vancouver,1996,5,5,480,5.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
218,Cucho,"FW,MF",co Colombia,27,1.es Real Betis,1999,2,0,50,0.6,0,1,1,0,0,0,0,0,0,1.8,1.8,0,1.8,Matches
219,Marc Cucurella,DF,es Spain,27,1.eng Chelsea,1998,8,8,750,8.3,0,2,2,0,0,0,1,0,0,0.24,0.24,0,0.24,Matches
220,Matheus Cunha,FW,br Brazil,27,1.eng Manchester Utd,1999,5,4,290,3.2,3,0,3,3,0,0,0,0,0.93,0,0.93,0.93,0.93,Matches
221,Findlay Curtis,MF,sct Scotland,19,1.sct Kilmarnock,2006,2,0,9,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
222,Aymen Dahmen,GK,tn Tunisia,29,1.tn Ahly Sfaxien,1997,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
223,Diogo Dalot,"DF,MF",pt Portugal,27,1.eng Manchester Utd,1999,2,0,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
224,Danilo,DF,br Brazil,34,1.br Flamengo,1991,5,4,405,4.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
225,Kevin Danso,DF,at Austria,27,1.eng Tottenham,1998,4,2,241,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
226,Vladimír Darida,MF,cz Czechia,35,1.cz Hradec Králové,1990,1,1,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
227,Jonathan David,FW,ca Canada,26,1.it Juventus,2000,5,5,420,4.7,3,0,3,3,0,0,1,0,0.64,0,0.64,0.64,0.64,Matches
228,Promise David,FW,ca Canada,24,1.be Union SG,2001,4,0,80,0.9,1,1,2,1,0,0,0,0,1.13,1.13,2.25,1.13,2.25,Matches
229,Alphonso Davies,"DF,FW",ca Canada,25,1.de Bayern Munich,2000,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
230,Erick Davis,DF,pa Panama,35,1.pa Plaza Amador,1991,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
231,Nasser Al-Dawsari,MF,sa Saudi Arabia,27,1.sa Al-Hilal,1998,3,2,207,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
232,Salem Al-Dawsari,MF,sa Saudi Arabia,34,1.sa Al-Hilal,1991,3,3,245,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
233,Mohammad Al-Dawud,"FW,MF",jo Jordan,34,1.jo Al-Wehdat SC,1992,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
234,Kevin De Bruyne,MF,be Belgium,34,1.it Napoli,1991,5,5,382,4.2,1,0,1,1,0,0,1,0,0.24,0,0.24,0.24,0.24,Matches
235,Maxim De Cuyper,DF,be Belgium,25,1.eng Brighton,2000,6,5,442,4.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
236,Luc De Fougerolles,DF,ca Canada,20,1.eng Fulham,2005,5,4,372,4.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
237,Charles De Ketelaere,"FW,MF",be Belgium,25,1.it Atalanta,2001,5,5,350,3.9,3,1,4,3,0,0,0,0,0.77,0.26,1.03,0.77,1.03,Matches
238,Nicolás De La Cruz,MF,uy Uruguay,29,1.br Flamengo,1997,3,0,86,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
239,Rodrigo De Paul,MF,ar Argentina,32,1.us Inter Miami,1994,7,6,491,5.5,0,1,1,0,0,0,1,0,0,0.18,0.18,0,0.18,Matches
240,Amar Dedi?,DF,ba Bosnia–Herz,23,1.pt Benfica,2002,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
241,Louicius Deedson,MF,ht Haiti,25,1.us FC Dallas,2001,3,1,112,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
242,Hannes Delcroix,DF,ht Haiti,27,1.ch Lugano,1999,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
243,Ousmane Dembélé,MF,fr France,29,1.fr PSG,1997,8,7,592,6.6,6,2,8,6,0,0,0,0,0.91,0.3,1.22,0.91,1.22,Matches
244,Merih Demiral,DF,tr Türkiye,28,1.sa Al-Ahli,1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
245,Ermedin Demirovi?,FW,ba Bosnia–Herz,28,1.de Stuttgart,1998,4,4,354,3.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
246,Sergiño Dest,MF,us USA,25,1.nl PSV,2000,5,4,297,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
247,Frans Dhia Putros,DF,iq Iraq,32,1.id Persib Bandung,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
248,Oumar Diakité,FW,ci Côte d'Ivoire,22,1.be Cercle Brugge,2003,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
249,Amad Diallo,"MF,FW",ci Côte d'Ivoire,23,1.eng Manchester Utd,2002,4,2,185,2.1,2,0,2,2,0,0,0,0,0.97,0,0.97,0.97,0.97,Matches
250,Assane Diao,MF,sn Senegal,20,1.it Como,2005,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
251,Habib Diarra,MF,sn Senegal,22,1.eng Sunderland,2004,3,2,143,1.6,2,0,2,2,0,0,0,0,1.26,0,1.26,1.26,1.26,Matches
252,Rúben Dias,DF,pt Portugal,29,1.eng Manchester City,1997,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
253,Krépin Diatta,DF,sn Senegal,27,1.fr Monaco,1999,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
254,Mory Diaw,GK,sn Senegal,32,1.fr Le Havre,1993,3,2,238,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
255,Brahim Díaz,MF,ma Morocco,26,1.es Real Madrid,1999,6,6,457,5.1,0,4,4,0,0,0,0,0,0,0.79,0.79,0,0.79,Matches
256,Ismael Díaz,"FW,MF",pa Panama,29,1.mx León,1997,2,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
257,Luis Díaz,"FW,MF",co Colombia,29,1.de Bayern Munich,1997,5,5,478,5.3,1,1,2,1,0,0,0,0,0.19,0.19,0.38,0.19,0.38,Matches
258,Bamba Dieng,FW,sn Senegal,26,1.fr Lorient,2000,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
259,Lucas Digne,DF,fr France,32,1.eng Aston Villa,1993,6,5,463,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
260,Diney,DF,cv Cabo Verde,31,1.ae Al Bataeh,1995,4,4,390,4.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
261,Ousmane Diomande,DF,ci Côte d'Ivoire,22,1.pt Sporting CP,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
262,Yan Diomandé,"MF,FW",ci Côte d'Ivoire,19,1.de RB Leipzig,2006,4,4,329,3.7,0,1,1,0,0,0,0,0,0,0.27,0.27,0,0.27,Matches
263,Issa Diop,DF,ma Morocco,29,1.eng Fulham,1997,5,5,476,5.3,1,0,1,1,0,0,3,0,0.19,0,0.19,0.19,0.19,Matches
264,El Hadji Malick Diouf,DF,sn Senegal,21,1.eng West Ham,2004,3,2,171,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
265,Ritsu Doan,MF,jp Japan,27,1.de Frankfurt,1998,4,4,278,3.1,0,1,1,0,0,0,0,0,0,0.32,0.32,0,0.32,Matches
266,Jeremy Doku,MF,be Belgium,24,1.eng Manchester City,2002,5,4,309,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
267,Merchas Doski,DF,iq Iraq,26,1.cz Viktoria Plze?,1999,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
268,David Doud?ra,MF,cz Czechia,28,1.cz Slavia Prague,1998,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
269,Désiré Doué,MF,fr France,21,1.fr PSG,2005,8,4,400,4.4,1,1,2,1,0,0,0,0,0.23,0.23,0.45,0.23,0.45,Matches
270,Guéla Doué,DF,ci Côte d'Ivoire,23,1.fr Strasbourg,2002,4,3,277,3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
271,Deroy Duarte,MF,cv Cabo Verde,26,1.bg Ludogorets,1999,4,2,264,2.9,1,0,1,1,0,0,0,0,0.34,0,0.34,0.34,0.34,Matches
272,Laros Duarte,MF,cv Cabo Verde,29,1.hu Puskás Akad.,1997,4,2,166,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
273,Denzel Dumfries,"DF,MF",nl Netherlands,30,1.it Inter,1996,4,4,390,4.3,0,2,2,0,0,0,0,0,0,0.46,0.46,0,0.46,Matches
274,Jean-Kevin Duverne,DF,ht Haiti,28,1.be Gent,1997,2,2,169,1.9,0,1,1,0,0,0,0,0,0,0.53,0.53,0,0.53,Matches
275,Lyndon Dykes,"FW,MF",sct Scotland,30,2.eng Charlton Athletic,1995,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
276,Edin Džeko,FW,ba Bosnia–Herz,40,2.de Schalke 04,1986,3,3,176,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
277,Roshon van Eijma,DF,cw Curaçao,28,2.nl RKC Waalwijk,1998,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
278,Anthony Elanga,"MF,FW",se Sweden,24,1.eng Newcastle,2002,4,2,217,2.4,2,0,2,2,0,0,0,0,0.83,0,0.83,0.83,0.83,Matches
279,Meschak Elia,"FW,MF",cd Congo DR,28,1.tr Alanyaspor,1997,2,0,46,0.5,0,1,1,0,0,0,0,0,0,1.96,1.96,0,1.96,Matches
280,Callan Elliot,DF,nz New Zealand,26,1.au Auckland FC,1999,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
281,Eren Elmal?,DF,tr Türkiye,25,1.tr Galatasaray,2000,2,1,111,1.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
282,Nico Elvedi,DF,ch Switzerland,29,1.de Gladbach,1996,6,6,600,6.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
283,Breel Embolo,FW,ch Switzerland,29,1.fr Rennes,1997,6,6,501,5.6,2,2,4,1,1,1,2,1,0.36,0.36,0.72,0.18,0.54,Matches
284,Julio Enciso,FW,py Paraguay,22,1.fr Strasbourg,2004,5,5,386,4.3,1,2,3,1,0,0,0,0,0.23,0.47,0.7,0.23,0.7,Matches
285,Endrick,FW,br Brazil,19,1.fr Lyon,2006,4,0,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
286,Sherzod Esanov,MF,uz Uzbekistan,23,1.uz FK Bukhara Nurafshon,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
287,Fidel Escobar,DF,pa Panama,31,1.cr Saprissa,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
288,Pervis Estupiñán,MF,ec Ecuador,28,1.it Milan,1998,2,1,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
289,Derrick Etienne,"FW,MF",ht Haiti,29,1.us Toronto FC,1996,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
290,Stephen Eustáquio,MF,ca Canada,29,1.pt Porto,1996,5,4,392,4.4,1,0,1,1,0,0,0,0,0.23,0,0.23,0.23,0.23,Matches
291,Martin Expérience,"DF,MF",ht Haiti,27,2.fr Nancy,1999,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
292,Saeid Ezatolahi,MF,ir IR Iran,29,1.ae Al-Ahli Dubai FC,1996,3,3,264,2.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
293,Eberechi Eze,MF,eng England,27,1.eng Arsenal,1998,5,1,211,2.3,0,1,1,0,0,0,0,0,0,0.43,0.43,0,0.43,Matches
294,Fabinho,"DF,MF",br Brazil,32,1.sa Al-Ittihad,1993,3,0,71,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
295,José Fajardo,FW,pa Panama,32,1.ec Univ Católica,1993,3,1,155,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
296,Odeh Al-Fakhouri,"MF,FW",jo Jordan,20,1.eg Pyramids FC,2005,3,2,148,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
297,Henrik Falchener,DF,no Norway,23,1.no Viking,2003,1,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
298,Marko Farji,MF,iq Iraq,22,2.it Venezia,2004,2,0,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
299,Christian Fassnacht,"FW,MF",ch Switzerland,32,1.ch Young Boys,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
300,Abdul Fatawu Issahaku,"FW,MF",gh Ghana,22,2.eng Leicester City,2004,4,0,132,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
301,Ahmed Fathy,MF,qa Qatar,33,1.qa Al-Arabi,1993,3,1,150,1.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
302,Hamdy Fathy,"DF,MF",eg Egypt,31,1.qa Al-Wakrah,1994,4,3,238,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
303,Ahmed Fatouh,DF,eg Egypt,28,1.eg Zamalek SC,1998,3,3,267,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
304,Abbosbek Fayzullayev,MF,uz Uzbekistan,22,1.tr Ba?ak?ehir,2003,3,3,220,2.4,1,0,1,1,0,0,0,0,0.41,0,0.41,0.41,0.41,Matches
305,João Félix,MF,pt Portugal,26,1.sa Al-Nassr,1999,3,3,201,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
306,Lewis Ferguson,MF,sct Scotland,26,1.it Bologna,1999,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
307,Bruno Fernandes,MF,pt Portugal,31,1.eng Manchester Utd,1994,5,5,422,4.7,0,1,1,0,0,0,0,0,0,0.21,0.21,0,0.21,Matches
308,Enzo Fernández,MF,ar Argentina,25,1.eng Chelsea,2001,7,7,659,7.3,2,0,2,2,0,0,2,1,0.27,0,0.27,0.27,0.27,Matches
309,Matias Fernandez-Pardo,"FW,MF",be Belgium,21,1.fr Lille,2005,3,0,44,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
310,Álvaro Fidalgo,MF,mx Mexico,29,1.es Real Betis,1997,3,1,96,1.1,1,0,1,1,0,0,0,0,0.94,0,0.94,0.94,0.94,Matches
311,Sherel Floranus,DF,cw Curaçao,27,1.nl Zwolle,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
312,Seko Fofana,MF,ci Côte d'Ivoire,31,1.pt Porto,1995,2,1,92,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
313,Yahia Fofana,GK,ci Côte d'Ivoire,25,1.tr Rizespor,2000,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
314,Deveron Fonville,DF,cw Curaçao,23,1.nl NEC Nijmegen,2003,3,3,241,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
315,Yassin Fortuné,"FW,MF",ht Haiti,27,2.pt Vizela,1999,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
316,Lyle Foster,FW,za South Africa,25,1.eng Burnley,2000,1,1,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
317,Alan Franco,DF,ec Ecuador,27,1.br Atlético Mineiro,1998,4,4,251,2.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
318,Alex Freeman,DF,us USA,21,1.es Villarreal,2004,5,4,374,4.2,1,1,2,1,0,0,0,0,0.24,0.24,0.48,0.24,0.48,Matches
319,Matt Freese,GK,us USA,27,1.us NYCFC,1998,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
320,Remo Freuler,MF,ch Switzerland,34,1.it Bologna,1992,6,6,592,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
321,Marco Friedl,DF,at Austria,28,1.de Werder Bremen,1998,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
322,Juriën Gaari,DF,cw Curaçao,32,2.sa Abha,1993,2,2,166,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
323,Jassem Gaber,MF,qa Qatar,24,1.qa Al Rayyan SC,2002,3,3,149,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
324,Cody Gakpo,FW,nl Netherlands,27,1.eng Liverpool,1999,4,4,368,4.1,3,1,4,3,0,0,0,0,0.73,0.24,0.98,0.73,0.98,Matches
325,Matías Galarza,MF,py Paraguay,24,1.us Atlanta Utd,2002,4,4,388,4.3,1,1,2,1,0,0,2,0,0.23,0.23,0.46,0.23,0.46,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
326,Hernán Galíndez,GK,ec Ecuador,39,1.ar Huracán,1987,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
327,Jesús Gallardo,DF,mx Mexico,31,1.mx Toluca,1994,5,4,373,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
328,Ahmed Al-Ganehi,FW,qa Qatar,25,1.qa Al-Gharafa Sports Club,2000,1,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
329,Ben Gannon-Doak,MF,sct Scotland,20,1.eng Bournemouth,2005,3,2,186,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
330,Eric García,"DF,MF",es Spain,25,1.es Barcelona,2001,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
331,Gavi,FW,es Spain,21,1.es Barcelona,2004,2,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
332,Jason Geria,DF,au Australia,33,2.jp Albirex Niigata,1993,2,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
